Kode Item,Deskripsi,Presence Count,H_norm,Max Share,Wilayah Dominan,Label
295000,GIOTTO OIL PASTEL PP CASE 55 COLS,3,0.4879,0.8462,Jakarta Pusat,Regional
295100,GIOTTO OIL PASTEL PP CASE 12 COLS,3,0.7897,0.6667,Jakarta Pusat,Regional
295200,GIOTTO OIL PASTEL PP CASE 24 COLS,3,0.3471,0.9000,Jakarta Pusat,Regional
31078A021,SPP CANSON XL BRISTOL 50S A4 180G,3,0.6750,0.7447,Jakarta Pusat,Regional
31078A022,SPP CANSON XL BRISTOL 50S A3 180G,3,0.8452,0.6190,Jakarta Pusat,Regional
342004,DAS IDEA MIX 100g GREEN TRAVERTINE,3,0.9821,0.4286,Jakarta Utara,Regional
342006,DAS IDEA MIX 100g BROWN,3,0.8650,0.6000,Jakarta Utara,Regional
343000,VERNIDAS PROFESSIONAL 75ML + BRUSH,3,0.9891,0.3929,Jakarta Pusat,Regional
356700,"GIOTTO PAINT 25ML, 12 PCS + BRUSH",3,0.9148,0.5000,Jakarta Timur,Regional
359000,GIOTTO ACRYLIC COLOURS 12 COLS.,3,0.5594,0.8065,Jakarta Pusat,Regional
3811100,LYRA GROOVE CARDBOARD BOX 10 COLS,3,0.6874,0.7083,Jakarta Pusat,Regional
385115,"DAS COLOR 150 GR, GOLD",3,0.8674,0.4792,Jakarta Timur,Regional
385116,"DAS COLOR 150 GR, SILVER",3,0.9329,0.4872,Jakarta Timur,Regional
3931124,934W12 LYRA-COL.GIANTS PRO NATURA SKIN TONES/12,3,0.8881,0.5758,Jakarta Pusat,Regional
